rank;company;country;region;industry;rnd;rndGrowth;sales;salesGrowth;rndIntensity;capex;capexGrowth;capexIntensity;opProfits;opProfitsGrouth;profitability;employees;employeesGrowth;marketCap;marketCapGrowth
1;ALPHABET;US;US;Software & Computer Services;27866.8;14.5;227473.9;41.2;12.3;21755.2;10.6;9.6;69498.5;90.9;30.6;156500;15.7;769312.7;78
2;META;US;US;Software & Computer Services;21768.5;33.7;104122.3;37.2;20.9;16393.2;22.8;15.7;41279.3;43.1;39.6;71970;22.8;798490.6;28.3
3;MICROSOFT;US;US;Software & Computer Services;21642.2;18.3;175057.3;18;12.4;21089.5;15.8;12;73531.7;19.1;42;221000;22.1;2002997.3;32.9
4;HUAWEI INVESTMENT & HOLDING;China;China;Technology Hardware & Equipment;19533.8;0.7;121786.3;-1.4;16;4738.8;-20.9;3.9;29810.1;196.7;24.5;195000;-1;;
5;APPLE;US;US;Technology Hardware & Equipment;19348.4;16.9;322988.6;33.3;6;9787.2;51.7;3;96193.7;64.4;29.8;154000;4.8;2215940.7;12.2
6;SAMSUNG ELECTRONICS;South Korea;RoW;Electronic & Electrical Equipment;16812.8;6.5;208048;18.1;8.1;37076.7;23.7;17.8;38419.7;43.5;18.5;;;340700.6;42
7;VOLKSWAGEN;Germany;EU;Automobiles & Parts;15583;12.2;250200;12.3;6.2;10655;-5.5;4.3;18419;84.9;7.4;643297;-2.9;83746.5;89.3
8;INTEL;US;US;Technology Hardware & Equipment;13411.6;12.1;69772.2;1.5;19.2;17949;40.7;25.7;19496.7;-7.5;27.9;121100;9.5;193644.2;1.2
9;ROCHE;Switzerland;RoW;Pharmaceuticals & Biotechnology;13260.8;12.8;60752.2;7.7;21.8;3572.5;4.7;5.9;17562.7;-2.1;28.9;100920;-0.5;249938.4;16.5
10;JOHNSON & JOHNSON;US;US;Pharmaceuticals & Biotechnology;12991.3;21;82796.2;13.6;15.7;3224.4;9.1;3.9;22654.1;20.3;27.4;141700;5.4;402402.9;12.8
11;PFIZER;US;US;Pharmaceuticals & Biotechnology;10239.3;20.6;71771.1;95.2;14.3;2393.6;20.4;3.3;24247.7;214.2;33.8;79000;0.6;228059.4;23
12;BRISTOL-MYERS SQUIBB;US;US;Pharmaceuticals & Biotechnology;9283.1;1.9;40954.4;9.1;22.7;859.1;29.2;2.1;8933.4;107.8;21.8;32200;6.4;131176.5;5.6
13;MERCK US;US;US;Pharmaceuticals & Biotechnology;9133.8;1.2;43001.9;17.3;21.2;3927.2;0.4;9.1;13501.7;65.6;31.4;68000;-8.1;170509;-10.5
14;MERCEDES-BENZ;Germany;EU;Automobiles & Parts;8973;6.3;167971;8.9;5.3;4579;-20.2;2.7;28593;303.5;17;172425;-40.2;76332.9;67.5
15;TOYOTA MOTOR;Japan;Japan;Automobiles & Parts;8691.3;3.1;242585.8;15.3;3.6;26935;-0.2;11.1;23158.8;36.3;9.5;372817;1.8;241960.9;36.9
16;NOVARTIS;Switzerland;RoW;Pharmaceuticals & Biotechnology;7982.5;7.8;46686.4;6;17.1;1216.7;8.1;2.6;10320.5;15.1;22.1;104323;-1.4;202357.7;8.6
17;ALIBABA GROUP HOLDING;China;China;Software & Computer Services;7687.3;-3.1;118232.6;18.9;6.5;7388.5;28.6;6.2;9651.7;-22.3;8.2;254941;1.4;400766.9;-41.6
18;TENCENT;China;China;Software & Computer Services;7190.5;33.1;77631.2;16.2;9.3;4061.2;-14;5.2;32564.7;59.1;41.9;112771;31.3;523059.9;-8.9
19;ASTRAZENECA;UK;Row;Pharmaceuticals & Biotechnology;7110.2;34;33036.4;40.6;21.5;963.3;13.5;2.9;-202.2;-105.6;-0.6;83100;9.2;156440.6;20.5
20;GENERAL MOTORS;US;US;Automobiles & Parts;6975.1;27.4;112134.9;3.7;6.2;19522.3;7.7;17.4;12293.8;46;11;157000;1.3;62819.1;67.8
21;BMW;Germany;EU;Automobiles & Parts;6870;9.4;111239;12.4;6.2;6619;7.6;6;13457;175.9;12.1;118909;-1.5;48382.4;33.6
22;FORD MOTOR;US;US;Automobiles & Parts;6710.2;7;120378.7;7.2;5.6;5498;8.4;4.6;3993.5;-202.6;3.3;183000;-1.6;45142.6;91.9
23;ORACLE;US;US;Software & Computer Services;6373.8;10.6;37471.3;4.8;17;3982.9;111.3;10.6;13976.7;0.3;37.3;143000;8.3;219716.5;41.7
24;HONDA MOTOR;Japan;Japan;Automobiles & Parts;6372.7;4.1;112502.6;10.5;5.7;2072.9;-15.8;1.8;6735.2;32;6;204035;-3.5;46800.1;22.5
25;QUALCOMM;US;US;Technology Hardware & Equipment;6335.9;20.1;29636.2;54.5;21.4;1667;34.2;5.6;8613.8;142.6;29.1;45000;9.8;146094.2;23.1
26;ROBERT BOSCH;Germany;EU;Automobiles & Parts;6328;4.7;78748;10.1;8;;;;2815;69.9;3.6;402614;1.9;;
27;ELI LILLY;US;US;Pharmaceuticals & Biotechnology;6203.3;15.4;25003;15.4;24.8;1156.5;-5.6;4.6;5624.3;2.6;22.5;35000;0;218706.2;74.5
28;ABBVIE;US;US;Pharmaceuticals & Biotechnology;6164.6;13;49617.7;22.7;12.4;694.9;-1.4;1.4;16343.8;56;32.9;50000;6.4;188450.8;26.3
29;STELLANTIS;Netherlands;EU;Automobiles & Parts;5889;52.3;149419;72.4;3.9;4796;-44.2;3.2;15161;527;10.1;292434;52.5;27834.9;84.3
30;CISCO SYSTEMS;US;US;Technology Hardware & Equipment;5782.3;3.2;43985.5;1;13.1;611;-10.1;1.4;12130.5;-2.5;27.6;79500;2.6;219602.9;39.2
31;NTT;Japan;Japan;Fixed Line Telecommunications;5732.1;4.7;93977.9;1.8;6.1;13590.9;-2.1;14.5;13964.9;6.7;14.9;333840;2.8;88537.6;21.7
32;SANOFI;France;EU;Pharmaceuticals & Biotechnology;5689;2.9;37761;4.8;15.1;2043;-1.9;5.4;7708;20;20.4;95442;-4;110702;3.6
33;BAYER;Germany;EU;Pharmaceuticals & Biotechnology;5515;1;44081;3.6;12.5;2611;8;5.9;3177;-129.4;7.2;99637;0.1;46390.1;-15.6
34;CHINA STATE CONSTRUCTION ENGINEERING;China;China;Construction & Materials;5509.5;35.2;259594.3;17.3;2.1;4312.9;-37.1;1.7;16175.1;16.7;6.2;368327;3.3;27039.6;-8
35;GSK;UK;Row;Pharmaceuticals & Biotechnology;5501.2;3.5;40463.3;0;13.6;1390.1;-4.4;3.4;6674.3;11.5;16.5;90096;-4.2;87255.6;-0.4
36;IBM;US;US;Software & Computer Services;5248.1;3.1;50635.7;3.9;10.4;1820.6;-21.2;3.6;5393.8;6.5;10.7;307600;-18;111062.6;14.5
37;SAP;Germany;EU;Software & Computer Services;5168;16.2;27842;1.8;18.6;800;-2;2.9;4657;-29.7;16.7;107415;4.9;156634.3;-8.4
38;SIEMENS;Germany;EU;Electronic & Electrical Equipment;5136;2.3;62265;9;8.2;1730;11.3;2.8;6421;28.7;10.3;303000;3.4;119119;20.3
39;SONY;Japan;Japan;Leisure Goods;4901.6;20.7;76700.3;10.2;6.4;3410;-13.9;4.4;9294.9;23.7;12.1;108900;-0.7;110747.2;36.7
40;GILEAD SCIENCES;US;US;Pharmaceuticals & Biotechnology;4735.1;6.4;24108.2;10.6;19.6;511.2;-10.9;2.1;8756.8;143.6;36.3;14400;5.9;80568.8;9
41;NVIDIA;US;US;Technology Hardware & Equipment;4651.2;34.3;23763;61.4;19.6;861.7;-13.5;3.6;8865.4;121.6;37.3;22473;18.4;492525.2;69
42;BROADCOM;US;US;Technology Hardware & Equipment;4285.7;-2.3;24236.3;14.9;17.7;391.1;-4.3;1.6;7653.2;99.8;31.6;20000;-4.8;180699;45.7
43;AMGEN;US;US;Pharmaceuticals & Biotechnology;4254.8;14.5;22937.5;2.2;18.5;777;44.7;3.4;6744.7;-16.4;29.4;24200;-0.4;113074.1;-13.7
44;NOKIA;Finland;EU;Technology Hardware & Equipment;4141;7.8;22202;1.6;18.7;560;16.9;2.5;2051;93.9;9.2;87927;-4.5;28831.3;25.2
45;BOEHRINGER SOHN;Germany;EU;Pharmaceuticals & Biotechnology;4127;11.7;20618;5.4;20;968;-7.5;4.7;4705;1.8;22.8;52391;0.9;;
46;TAKEDA PHARMACEUTICAL;Japan;Japan;Pharmaceuticals & Biotechnology;4064.8;15.4;27590.9;11.6;14.7;952.8;10.8;3.5;3510.5;64.8;12.7;47347;0.5;45001.3;-6.7
47;ERICSSON;Sweden;EU;Technology Hardware & Equipment;4046.2;6;22694.5;0;17.8;357.8;-18.5;1.6;3013.6;11.1;13.3;101322;0.5;30704.3;2
48;TAIWAN SEMICONDUCTOR;Taiwan;RoW;Technology Hardware & Equipment;3977.3;13.9;50616.4;18.5;7.9;26758.6;65.4;52.9;20767;14.9;41;;;507665.5;44
49;SALESFORCE;US;US;Software & Computer Services;3942.3;24.1;23390.4;24.7;16.9;633.1;1;2.7;486.5;21.1;2.1;73541;29.9;229294.8;4.7
50;DENSO;Japan;Japan;Automobiles & Parts;3846.5;1.1;42638.8;11.7;9;2600.7;-15;6.1;2686.4;175.2;6.3;154493;-8.3;46964.5;73
51;NISSAN MOTOR;Japan;Japan;Automobiles & Parts;3742.2;-3.9;65128;7.1;5.7;8688.4;210.1;13.3;1780.6;-245.8;2.7;134111;2;18875.9;34.1
52;PANASONIC;Japan;Japan;Leisure Goods;3513.3;-1.5;57120.6;10.3;6.2;1808.7;1.2;3.2;2763.9;28;4.8;240198;-1.4;24888.8;34.2
53;BAIDU;China;China;Software & Computer Services;3456.4;27.8;17254.5;16.3;20;1510.2;114.3;8.8;1457.8;-26.7;8.4;45500;11;39254.2;
54;CHINA RAILWAY;China;China;Construction & Materials;3431.1;13.4;148753.2;10.1;2.3;1463;-7.2;1;6532.4;16.2;4.4;294013;1.8;1776.9;-6.3
55;HON HAI;Taiwan;RoW;Electronic & Electrical Equipment;3350.2;11.6;191130.4;11.9;1.8;2942.9;40.9;1.5;4906.9;30.6;2.6;;;49066;44.3
56;CHINA COMMUNICATIONS CONSTRUCTION;China;China;Construction & Materials;3112.2;13.7;94606.8;9.3;3.3;1111.3;-23.5;1.2;5777.5;4.5;6.1;136772;2.6;1971.1;-9.6
